ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94304,2,2017,Gas- Commercial,Y,0,0,NA
94304,3,2017,Gas- Commercial,Y,0,0,NA
94305,1,2017,Gas- Commercial,Y,0,0,NA
94305,2,2017,Gas- Commercial,Y,0,0,NA
94305,3,2017,Gas- Commercial,Y,0,0,NA
94306,1,2017,Gas- Commercial,Y,0,0,NA
94306,2,2017,Gas- Commercial,Y,0,0,NA
94306,3,2017,Gas- Commercial,Y,0,0,NA
94401,1,2017,Gas- Commercial,Y,0,0,NA
94401,2,2017,Gas- Commercial,N,652,195949,301
94401,3,2017,Gas- Commercial,N,651,190698,293
94402,1,2017,Gas- Commercial,Y,0,0,NA
94402,2,2017,Gas- Commercial,Y,0,0,NA
94402,3,2017,Gas- Commercial,Y,0,0,NA
94403,1,2017,Gas- Commercial,Y,0,0,NA
94403,2,2017,Gas- Commercial,Y,1054,821571,779
94403,3,2017,Gas- Commercial,Y,1055,779763,739
94404,1,2017,Gas- Commercial,Y,0,0,NA
94404,2,2017,Gas- Commercial,Y,0,0,NA
94404,3,2017,Gas- Commercial,Y,0,0,NA
94501,1,2017,Gas- Commercial,Y,1555,757751,487
94501,2,2017,Gas- Commercial,Y,1554,581594,374
94501,3,2017,Gas- Commercial,Y,1554,558639,359
94502,1,2017,Gas- Commercial,Y,0,0,NA
94502,2,2017,Gas- Commercial,Y,0,0,NA
94502,3,2017,Gas- Commercial,Y,0,0,NA
94503,1,2017,Gas- Commercial,Y,0,0,NA
94503,2,2017,Gas- Commercial,Y,0,0,NA
94503,3,2017,Gas- Commercial,Y,0,0,NA
94505,1,2017,Gas- Commercial,Y,0,0,NA
94505,2,2017,Gas- Commercial,Y,0,0,NA
94505,3,2017,Gas- Commercial,Y,0,0,NA
94506,1,2017,Gas- Commercial,Y,153,108776,711
94506,2,2017,Gas- Commercial,Y,153,74812,489
94506,3,2017,Gas- Commercial,Y,153,66650,436
94507,1,2017,Gas- Commercial,Y,0,0,NA
94507,2,2017,Gas- Commercial,Y,0,0,NA
94507,3,2017,Gas- Commercial,Y,0,0,NA
94508,1,2017,Gas- Commercial,Y,0,0,NA
94508,2,2017,Gas- Commercial,Y,0,0,NA
94508,3,2017,Gas- Commercial,Y,0,0,NA
94509,1,2017,Gas- Commercial,Y,913,301739,330
